"athlete_id_1","player_name","attempts_Late_Tight","makes_Late_Tight","attempts_Baseline","makes_Baseline","pct_Late_Tight","pct_Baseline","delta_pp","label"
4280850,"Maya Caldwell",22,7,509,235,0.318181818181818,0.461689587426326,-14.3507769244508,"Anti-clutch"
35,"Janell Burse",22,9,890,492,0.409090909090909,0.552808988764045,-14.3718079673136,"Anti-clutch"
4432832,"Zia Cooke",8,2,518,205,0.25,0.395752895752896,-14.5752895752896,"Anti-clutch"
4257500,"Cecilia Zandalasini",23,8,593,293,0.347826086956522,0.494097807757167,-14.6271720800645,"Anti-clutch"
951,"Natasha Lacy",22,7,417,194,0.318181818181818,0.465227817745803,-14.7045999563985,"Anti-clutch"
2530679,"Jennifer Hamson",3,1,81,39,0.333333333333333,0.481481481481481,-14.8148148148148,"Anti-clutch"
3904553,"AD Durr",12,4,559,271,0.333333333333333,0.48479427549195,-15.1460942158617,"Anti-clutch"
2327695,"Rebekah Gardner",21,9,474,277,0.428571428571429,0.584388185654008,-15.581675708258,"Anti-clutch"
3058893,"Shatori Walker-Kimbrough",30,11,1632,860,0.366666666666667,0.526960784313726,-16.0294117647059,"Anti-clutch"
778,"Ketia  Swanier",8,2,513,212,0.25,0.413255360623782,-16.3255360623782,"Anti-clutch"
853,"Tanae Davis-Cain",0,0,6,1,0,0.166666666666667,-16.6666666666667,"Anti-clutch"
2529603,"Jamierra Faulkner",37,11,997,463,0.297297297297297,0.464393179538616,-16.7095882241319,"Anti-clutch"
687,"Crystal Smith",13,4,369,177,0.307692307692308,0.479674796747967,-17.198248905566,"Anti-clutch"
556,"Raffaella Masciadri",8,2,179,76,0.25,0.424581005586592,-17.4581005586592,"Anti-clutch"
4068110,"Chelsea Dungee",0,0,17,3,0,0.176470588235294,-17.6470588235294,"Anti-clutch"
554,"Doneeka  Lewis",10,2,253,96,0.2,0.379446640316206,-17.9446640316206,"Anti-clutch"
4434015,"JJ Quinerly",3,1,230,118,0.333333333333333,0.51304347826087,-17.9710144927536,"Anti-clutch"
638,"Cisti Greenwalt",0,0,11,2,0,0.181818181818182,-18.1818181818182,"Anti-clutch"
4399342,"Lexi Held",4,1,184,80,0.25,0.434782608695652,-18.4782608695652,"Anti-clutch"
